latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Jynx torquilla|Wendehals|Torcecuello Euroasiático|Gauktíta|Vendehals|krutihlav obecný|käenpiika|Torcicollo eurasiatico|アリスイ|Draaihals|Vendehals|krętogłów|Torcicolo|Обыкновенная вертишейка|krutohlav hnedý|Göktyta|蚁鴷
Sphyrapicus varius|Gelbbauch-Saftlecker|Chupasavia Norteño|Safaspæta|Gulbuget Saftspætte|datel rudohrdlý|mahlatikka|Picchio ventregiallo|シルスイキツツキ|Geelbuiksapspecht|Kanadasevjespett|oskomik czerwonogardly||Дятел-сосун|miazgojed žltobruchý|Gulbröstad savspett|黄腹吸汁啄木鸟
Dendrocopos minor|Kleinspecht|Pico Menor|Stubbspæta|Lille Flagspætte|strakapoud malý|pikkutikka|Picchio rosso minore|コアカゲラ|Kleine Bonte Specht|Dvergspett|dzięciołek|Pica-pau-malhado-pequeno|Малый пёстрый дятел|ďateľ malý|Mindre hackspett|小斑啄木鸟
Dendrocopos medius|Mittelspecht|Pico Mediano|Fauskspæta|Mellemflagspætte|strakapoud prostřední|tammitikka|Picchio rosso mezzano|ヒメアカゲラ|Middelste Bonte Specht|Mellomspett|dzięcioł średni|Pica-pau-mediano|Средний пёстрый дятел|ďateľ prostredný|Mellanspett|中斑啄木鸟
Dendrocopos leucotos|Weißrückenspecht|Pico Dorsiblanco|Drumbspæta|Hvidrygget Flagspætte|strakapoud bělohřbetý|valkoselkätikka|Picchio dorsobianco|オオアカゲラ|Witrugspecht|Hvitryggspett|dzięcioł białogrzbiety|Pica-pau-de-dorso-branco|Белоспинный дятел|ďateľ bielochrbtý|Vitryggad hackspett|白背啄木鸟
Dendrocopos major|Buntspecht|Pico Picapinos|Barrspæta|Stor Flagspætte|strakapoud velký|käpytikka|Picchio rosso maggiore|アカゲラ|Grote Bonte Specht|Flaggspett|dzięcioł duży|Pica-pau-malhado-grande|Большой пёстрый дятел|ďateľ veľký|Större hackspett|大斑啄木鸟
Dendrocopos syriacus|Blutspecht|Pico Sirio|Balkanspæta|Syrisk Flagspætte|strakapoud jižní|syyriantikka|Picchio syriaco|カオジロアカゲラ|Syrische Bonte Specht|Syriaspett|dzięcioł białoszyi|Pica-pau-sírio|Сирийский дятел|ďateľ hnedkavý|Balkanspett|叙利亚啄木鸟
Picoides tridactylus|Dreizehenspecht|Pico Tridáctilo Euroasiático|Barkspæta|Tretået Flagspætte|datlík tříprstý|pohjantikka|Picchio tridattilo|ミユビゲラ|Drieteenspecht|Tretåspett|dzięcioł trójpalczasty|Pica-pau-tridáctilo|Трёхпалый дятел|ďubník trojprstý|Tretåig hackspett|三趾啄木鸟
Colaptes auratus|Goldspecht|Carpintero Escapulario|Gullklambra|Guldspætte|datel zlatý|kultatikka|Picchio dorato|ハシボソキツツキ|Gouden Grondspecht|Gullspett|dzieciol rózowoszyi||Золотой шилоклювый дятел|vlikáč zlatý|Guldspett|北扑翅鴷
Dryocopus martius|Schwarzspecht|Picamaderos Negro|Svartspæta|Sortspætte|datel černý|palokärki|Picchio nero|クマゲラ|Zwarte Specht|Svartspett|dzięcioł czarny|Pica-pau-preto|Чёрная желна|tesár čierny|Spillkråka|黑啄木鸟
Picus viridis|Grünspecht|Pito Real|Grænspæta|Grønspætte|žluna zelená|vihertikka|Picchio verde|ヨアロッパアオゲラ|Groene Specht|Grønnspett|dzięcioł zielony|Pica-pau-verde|Зелёный дятел|žlna zelená|Gröngöling|绿啄木鸟
Picus canus|Grauspecht|Pito Cano|Gráspæta|Gråspætte|žluna šedá|harmaapäätikka|Picchio cenerino|ヤマゲラ|Grijskopspecht|Gråspett|dzięcioł zielonosiwy|Pica-pau-cinzento|Седоголовый дятел|žlna sivá|Gråspett|灰头绿啄木鸟
||||||||||||||||
Contopus cooperi|Olivflanken-Schnäppertyrann|Pibí Boreal||Brunsidet Pivi|tyranovec olivovoboký|havupiivi|Pigliamosche fianchi oliva|ナキヒタキモドキ|Sparrenpiewie|Jakkepivi|piwik pólnocny|Piuí-boreal|Оливковобокий мухолов|pamuchár smrekový|Nordlig pivi|绿胁绿霸鹟
Empidonax flaviventris|Birkenschnäppertyrann|Mosquero Ventriamarillo||Gulbuget Empidonax|tyranovec žlutobřichý|kuusisieppari|Pigliamosche ventregiallo|キバラメジロハエトリ|Berkenfeetiran|Gulbukempid|empidonka zóltobrzucha||Желтобрюхая мухоловка|pamuchár žltobruchý|Gulbukad empid|黄腹纹霸鹟
Empidonax virescens|Buchenschnäppertyrann|Mosquero Verdoso|Mýgreipur|Akadie-empidonax|tyranovec zelenavý|korpisieppari|Pigliamosche acadico|ミドリメジロハエトリ|Beukenfeetiran|Østempid|empidonka oliwkowa||Акадская мухоловка|pamuchár bukový|Akadempid|绿纹霸鹟
Empidonax alnorum|Erlenschnäppertyrann|Mosquero Alisero|Elrigreipur|Elleempidonax|tyranovec olšový|leppäsieppari|Pigliamosche degli ontani|キタメジロハエトリ|Elzenfeetiran|Oreempid|empidonka olchowa|Papa-moscas-de-alder|Мухоловка Элдера|pamuchár jelšový|Alempid|恺木纹霸鹟
Empidonax minimus|Zwergschnäppertyrann|Mosquero Mínimo|Stúfgreipur|Lille Empidonax|tyranovec malinký|pikkusieppari|Pigliamosche minimo|チビメジロハエトリ|Kleine Feetiran|Småempid|empidonka siwa||Малая мухоловка|pamuchár záhradný|Dvärgempid|小纹霸鹟
Sayornis phoebe|Weißbauch-Phoebetyrann|Mosquero Fibí|Fógetafugl|Fibii|tyranovec domácí|harmaafiivi|Febo orientale|ツキヒメハエトリ|Phoebe|Gråfibi|fibik oliwkowy||Восточный феб|pamuchár východný|Grå fibi|灰胸长尾霸鹟
Tyrannus tyrannus|Schieferrücken-Königstyrann|Tirano Oriental||Østlig Kongetyran|tyran obecný|pihatyranni|Tiranno orientale|オウサマタイランチョウ|Koningstiran|Østkongetyrann|tyran pólnocny|Suiriri-valente|Восточный королевский тиранн|postriežkar kráľovský|Östlig kungstyrann|东王霸鹟
Tyrannus savana|Gabelschwanz-Königstyrann|Tijereta Sabanera||Langhalet Kongetyran|tyran savanový|laahustyranni|Tiranno codaforcuta meridionale|ズグロエンビタイランチョウ|Vorkstaartkoningstiran|Gaffeltyrann|tyran widlosterny|Tesourinha-do-campo|Вилохвостый королевский тиранн|postriežkar lastovičí|Gaffelstjärtstyrann|叉尾王霸鹟
||||||||||||||||
Tchagra senegalus|Senegaltschagra|Chagra del Senegal|Brúsksvarri|Kratskade|čagra černokorunkatý|pensaslepinkäinen|Ciagra corona nera|チャイロヤブモズ|Zwartkruintsjagra|Svartkronesjagra|czagra senegalska|Picanco de barrete preto|Сенегальская чагра|čagra krátkokrídla|Svartkronad tchagra|黑冠红翅鵙
||||||||||||||||
Lanius collurio|Neuntöter|Alcaudón Dorsirrojo|Þyrnisvarri|Rødrygget Tornskade|ťuhýk obecný|pikkulepinkäinen|Averla piccola|セアカモズ|Grauwe Klauwier|Tornskate|gąsiorek|Picanço-de-dorso-ruivo|Обыкновенный жулан|strakoš obyčajný|Törnskata|红背伯劳
Lanius isabellinus|Isabellwürger|Alcaudón Isabel|Bleiksvarri|Isabellatornskade|ťuhýk středoasijský|punapyrstölepinkäinen|Averla isabellina|アカオモズ|Isabelklauwier|Rødhalevarsler|dzierzba pustynna|Picanço-isabel|Рыжехвостый жулан|strakoš hrdzavochvostý|Isabellatörnskata|荒漠伯劳
Lanius cristatus|Braunwürger|Alcaudón Pardo|Brúnsvarri|Brun Tornskade|ťuhýk hnědý|siperianlepinkäinen|Averla bruna|アカモズ|Bruine Klauwier|Brunvarsler|dzierzba brazowa|Picanço-castanho|Сибирский жулан|strakoš červenochvostý|Brun törnskata|红尾伯劳
Lanius schach|Schachwürger|Alcaudón Schach|Ránsvarri|Langhalet Tornskade|ťuhýk královský|ruskoperälepinkäinen|Averla dorsorossiccio|タカサゴモズ|Langstaartklauwier|Rustvarsler|dzierzba zmienna||Длиннохвостый сорокопут|strakoš dlhochvostý|Rostgumpad törnskata|棕背伯劳
Lanius excubitor|Raubwürger|Alcaudón Norteño|Grásvarri|Stor Tornskade|ťuhýk šedý|isolepinkäinen|Averla maggiore|オオモズ|Klapekster|Varsler|srokosz|Picanço-grande|Серый сорокопут|strakoš veľký|Varfågel|灰伯劳
Lanius meridionalis|Mittelmeer-Raubwürger|Alcaudón Real|Steppusvarri|Sydlig Stor Tornskade|ťuhýk pustinný|etelänisolepinkäinen|Averla meridionale|ミナミオオモズ|Zuidelijke Klapekster|Krattvarsler|dzierzba sródziemnomorska|Picanço-real|Средиземноморский сорокопут|strakoš prieložný|Sydlig varfågel|南灰伯劳
Lanius minor|Schwarzstirnwürger|Alcaudón Chico|Geigsvarri|Rosenbrystet Tornskade|ťuhýk menší|mustaotsalepinkäinen|Averla cenerina|ヒメオオモズ|Kleine Klapekster|Rosenvarsler|dzierzba czarnoczelna|Picanço-pequeno|Чернолобый сорокопут|strakoš kolesár|Svartpannad törnskata|黑额伯劳
Lanius nubicus|Maskenwürger|Alcaudón Núbico|Grímusvarri|Masketornskade|ťuhýk běločelý|valko-otsalepinkäinen|Averla mascherata|シロクロモズ|Maskerklauwier|Hvitpannevarsler|dzierzba bialoczelna|Picanço-núbio|Маскированный сорокопут|strakoš bieločelý|Masktörnskata|云斑伯劳
Lanius senator|Rotkopfwürger|Alcaudón Común|Trjásvarri|Rødhovedet Tornskade|ťuhýk rudohlavý|punapäälepinkäinen|Averla capirossa|ズアカモズ|Roodkopklauwier|Rødhodevarsler|dzierzba rudogłowa|Picanço-barreteiro|Красноголовый сорокопут|strakoš červenohlavý|Rödhuvad törnskata|林(即鸟)伯劳
||||||||||||||||
Vireo griseus|Weißaugenvireo|Vireo de Ojos Blancos||Hvidøjet vireo|zelenáček bělooký|valkosilmävireo|Vireo occhibianchi|メジロモズモドキ|Witoogvireo|Hvitøyevireo|wireonek bialooki|Víreo-d'olho-branco|Белоглазый виреон|vireo bielooký|Vitögd vireo|白眼莺雀
Vireo flavifrons|Gelbkehlvireo|Vireo de Cuello Amarilla|Ljómagræningi|Gulbrystet Vireo|zelenáček žlutoprsý|keltarintavireo|Vireo frontegialla|キノドモズモドキ|Geelborstvireo|Gulbrystvireo|wireonek zóltogardly||Желтогрудый виреон|vireo žltohrdlý|Gulstrupig vireo|黄喉莺雀
Vireo solitarius|Graukopfvireo|Vireo Anteojillo||Gråhovedet Brillevireo|zelenáček brýlatý|silmälasivireo|Vireo solitario|フタスジモズモドキ|Brilvireo|Eremittvireo|wireonek siwy||Сероголовый виреон|vireo sivohlavý|Blåhuvad glasögonvireo|蓝头莺雀
Vireo philadelphicus|Schlichtvireo|Vireo Gris-olivo|Kollgræningi|Philadelphiavireo|zelenáček kanadský|kanadanvireo|Vireo di Filadelfia|セアカモズモドキ|Philadelphiavireo|Kanadavireo|wireonek cytrynowy|Juruviara de Filadélfia|Тонкоклювый виреон|vireo sťahovavý|Kanadavireo|费城莺雀
Vireo olivaceus|Rotaugenvireo|Vireo de Ojos Rojos|Græningi|Rødøjet Vireo|zelenáček červenooký|punasilmävireo|Vireo occhirossi|アカメモズモドキ|Roodoogvireo|Rødøyevireo|wireonek czerwonooki|Juruviara|Красноглазый виреон|vireo červenooký|Rödögd vireo|红眼莺雀
||||||||||||||||
Oriolus oriolus|Pirol|Oropéndola Europea|Laufglói|Pirol|Žluva hajní|Kuhankeittäjä|Rigogolo|ニシコウライウグイス|Wielewaal|Pirol|wilga (zwyczajna)||Иволга|vlha obyčajná|Sommargylling|金黄鹂
||||||||||||||||
Perisoreus infaustus|Unglückshäher|Arrendajo Siberiano|Váskaði|Lavskrige|sojka zlověstná|kuukkeli|Ghiandaia siberiana|アカオカケス|Taigagaai|Lavskrike|sójka syberyjska|Gaio-siberiano|Кукша|škriekavec zlovestný|Lavskrika|北噪鸦
Garrulus glandarius|Eichelhäher|Arrendajo Euroasiático|Skrækskaði|Skovskade|sojka obecná|närhi|Ghiandaia eurasiatica|カケス|Gaai|Nøtteskrike|sójka|Gaio-comum|Сойка|sojka obyčajná|Nötskrika|松鸦
Cyanopica cyanus|Blauelster|Urraca de Rabo Largo|Bláskjór|Blåskade|straka modrá|siniharakka|Gazza aliazzurre|オナガ|Blauwe Ekster|Blåskjære|sroka blekitna|Pega-azul|Голубая сорока|modraňa družná|Blåskata|灰喜鹊
Pica pica|Elster|Urraca Común|Skjór|Husskade|straka obecná|harakka|Gazza comune europea|カササギ|Ekster|Skjære|sroka|Pega-rabuda|Сорока|straka obyčajná|Skata|喜鹊
Nucifraga caryocatactes|Tannenhäher|Cascanueces Común||Nøddekrige|Ořešník kropenatý|Pähkinähakki|Nocciolaia eurasiatica|ホシガラス|Notenkraker|Nøttekråke|orzechówka (zwyczajna)||Кедровка|orešnica perlavá|Nötkråka|星鸦
Pyrrhocorax pyrrhocorax|Alpenkrähe|Chova Piquirroja|Bjargkorpungur|Alpekrage|kavče červenozobé|alppivaris|Gracchio corallino|ベニハシガラク|Alpenkraai|Alpekråke|wronczyk|Gralha-de-bico-vermelho|Клушица|čavka červenozobá|Alpkråka|红嘴山鸦
Pyrrhocorax graculus|Alpendohle|Chova Piquigualda|Fjallkorpungur|Alpeallike|kavče žlutozobé|alppinaakka|Gracchio alpino|キバシガラス|Alpenkauw|Alpekaie|wieszczek|Gralha-de-bico-amarelo|Альпийская галка|čavka žltozobá|Alpkaja|黄嘴山鸦
Coloeus monedula|Dohle|Grajilla Occidental|Dvergkráka|Allike|kavka obecná|naakka|Taccola|ニシコクマルガラス|Kauw|Kaie|kawka|Gralha-de-nuca-cinzenta|Галка|kavka tmavá|Kaja|寒鸦
Corvus dauuricus|Elsterdohle|Grajilla Oriental|Hringkráka|Sibirisk Allike|kavka východní|idännaakka|Taccola di Dauria|コクマルガラス|Daurische Kauw|Mongolkaie|kawka srokata|Gralha-dáurica|Даурская галка|kavka strakatá|Klippkaja|达乌里寒鸦
Corvus splendens|Glanzkrähe|Cuervo Indio|Bæjakráka|Huskrage|vrána domácí|intianvaris|Cornacchia grigia indiana|イエガラス|Huiskraai|Huskråke|wrona orientalna|Gralha-indiana|Блестящий ворон|vrana lesklá|Huskråka|家鸦
Corvus frugilegus|Saatkrähe|Graja|Bláhrafn|Råge|havran polní|mustavaris|Corvo nero|ミヤマガラス|Roek|Kornkråke|gawron|Gralha-calva|Грач|havran čierny|Råka|秃鼻乌鸦
Corvus corone|Rabenkrähe|Corneja Negra|Kráka|Sortkrage|vrána černá|varis|Cornacchia comune europea|ハシボソガラス|Zwarte Kraai|Svartkråke|czarnowron|Gralha-preta|Чёрная ворона|vrana čierna|Svartkråka|小嘴乌鸦
Corvus cornix|Nebelkrähe|Corneja Cenicienta|Grákráka|Gråkrage|vrána šedá|Varis|Cornacchia grigia|ズキンガラス|Bonte Kraai|Kråke|wrona siwa|Gralha-cinzenta|Черная ворона|vrana popolavá|Gråkråka|冠小嘴乌鸦
Corvus corax|Kolkrabe|Cuervo Grande|Hrafn|Ravn|krakovec velký|korppi|Corvo imperiale|ワタリガラス|Raaf|Ravn|kruk|Corvo|Ворон|krkavec čierny|Korp|渡鸦
||||||||||||||||
Panurus biarmicus|Bartmeise|Bigotudo|Kampameisa|Skægmejse|sýkořice vousatá|viiksitimali|Basettino|ヒゲガラ|Baardman|Skjeggmeis|wąsatka|Chapim-de-bigode|Усатая синица|fúzatka trstinová|Skäggmes|文须雀
||||||||||||||||
Alaemon alaudipes|Wüstenläuferlerche|Alondra Ibis|Beltalævirki|Hærfuglelærke|skřívan dudkovitý|kirjosiipikiuru|Allodola beccocurvo|ハシナガヒバリ|Witbandleeuwerik|Langnebblerke|skowron pustynny||Большой удодовый жаворонок|behuľa dlhozobá|Härfågellärka|拟戴胜百灵
Chersophilus duponti|Dupontlerche|Alondra Ricotí|Huldulævirki|Duponts Lærke|skřiván Dupontův|kaitanokkakiuru|Allodola di Dupont|デュボンヒバリ|Duponts Leeuwerik|Nattlerke|skowronczyk sierpodzioby|Calhandra de Dupont|Жаворонок Дюпона|škovránok plachý|Dupontlärka|杜氏百灵
Ammomanes cinctura|Sandlerche|Terrera Colinegra|Faldlævirki|Lille Ørkenlærke|skřívan pruhoocasý|pikkuaavikkokiuru|Allodola del deserto codafasciata|クロオビスナヒバリ|Rosse Woestijnleeuwerik|Mørkhalelerke|skowronik rudawy||Чернохвостый вьюрковый жаворонок|škovránok púštny|Sandökenlärka|斑尾漠百灵
Ammomanes deserti|Steinlerche|Terrera Sahariana|Auðnalævirki|Ørkenlærke|skřívan pouštní|aavikkokiuru|Allodola del deserto|スナヒバリ|Woestijnleeuwerik|Ørkenlerke|skowronik piaskowy||Пустынный жаворонок|škovránok bledý|Stenökenlärka|漠百灵
Melanocorypha calandra|Kalanderlerche|Calandria Común|Sunnulævirki|Kalanderlærke|kalandra zpěvná|arokiuru|Calandra|クロコウテンシ|Kalanderleeuwerik|Kalanderlerke|kalandra szara|Calhandra-comum|Степной жаворонок|škovran stepný|Kalanderlärka|草原百灵
Melanocorypha bimaculata|Bergkalanderlerche|Calandria Bimaculada|Misturlævirki|Bjergkalanderlærke|kalandra dvouskvrnná|ylänkökiuru|Calandrina bimaculata|クビワコウテンシ|Bergkalanderleeuwerik|Fjellkalanderlerke|kalandra dwuplamista||Двупятнистый жаворонок|škovran dvojškvrnový|Asiatisk kalanderlärka|二斑百灵
Melanocorypha leucoptera|Weißflügellerche|Calandria Aliblanca|Brandlævirki|Hvidvinget Lærke|kalandra bělokřidla|valkosiipikiuru|Calandra siberiana|ハジロコウテンシ|Witvleugelleeuwerik|Hvitvingelerke|kalandra białoskrzydła||Белокрылый жаворонок|škovran bielokrídly|Vitvingad lärka|白翅百灵
Melanocorypha yeltoniensis|Mohrenlerche|Calandria Negra|Sótlævirki|Sortlærke|kalandra černá|mustakiuru|Calandra nera|クロコウテンシ|Zwarte Leeuwerik|Svartlerke|kalandra czarna||Чёрный жаворонок|škovran čierny|Svartlärka|黑百灵
Calandrella brachydactyla|Kurzzehenlerche|Terrera Común|Sandlævirki|Korttået Lærke|skřivánek krátkoprstý|lyhytvarvaskiuru|Calandrella|ヒメコウテンシ|Kortteenleeuwerik|Dverglerke|skowrończyk krótkopalcowy|Calhandrinha-comum|Малый жаворонок|škovránka krátkoprstá|Korttålärka|大短趾百灵
Calandrella rufescens|Stummellerche|Terrera Marismeña|Stúflævirki|Dværglærke|skřivánek menší|pikkukiuru|Calandrina|コヒバリ|Kleine Kortteenleeuwerik|Flekkdverglerke|skowronczyk maly|Calhandrinha-das-marismas|Серый жаворонок|škovránka malá|Dvärglärka|小短趾百灵
Galerida cristata|Haubenlerche|Cogujada Común|Topplævirki|Toplærke|chocholouš obecný|töyhtökiuru|Cappellaccia|カンムリヒバリ|Kuifleeuwerik|Topplerke|dzierlatka|Cotovia-de-poupa|Хохлатый жаворонок|pipíška chochlatá|Tofslärka|凤头百灵
Galerida theklae|Theklalerche|Cogujada Montesina|Kamblævirki|Theklalærke|chocholouš vavřínový|kivikkotöyhtökiuru|Cappellaccia di Thekla|コバシカンムリヒバリ|Theklaleeuwerik|Krattopplerke|dzierlatka iberyjska|Cotovia-montesina|Короткоклювый хохлатый жаворонок|pipíška vavrínová|Lagerlärka|短嘴凤头百灵
Alauda arvensis|Feldlerche|Alondra Común|Sönglævirki|Sanglærke|skřivan polní|kiuru|Allodola|ニシヒバリ|Veldleeuwerik|Sanglerke|skowronek|Laverca|Полевой жаворонок|škovránok poľný|Sånglärka|云雀
Lullula arborea|Heidelerche|Alondra Totovía|Trjálævirki|Hedelærke|skřivan lesní|kangaskiuru|Tottavilla|モリヒバリ|Boomleeuwerik|Trelerke|lerka|Cotovia-pequena|Юла|škovránik stromový|Trädlärka|林百灵
Eremophila alpestris|Ohrenlerche|Alondra Cornuda|Fjallalævirki|Bjerglærke|skřivan ouškatý|tunturikiuru|Allodola golagialla|ハマヒバリ|Strandleeuwerik|Fjellerke|górniczek|Cotovia-cornuda|Рюм|uškárik vrchovský|Berglärka|角百灵
Eremophila bilopha|Saharaohrenlerche|Alondra Sahariana|Hornlævirki|Ørkenbjerglærke|skřivan růžkatý|sarvikiuru|Allodola di Temminck|ウスイロハマヒバリ|Temmincks Strandleeuwerik|Hornlerke|górniczek maly||Малый рогатый жаворонок|uškárik bielohrdlý|Ökenberglärka|漠角百灵
||||||||||||||||
Progne subis|Purpurschwalbe|Golondrina Purpúrea||Purpursvale|jiřička modrolesklá|sinipääsky|Rondine purpurea|ムラサキツバメ|Purperzwaluw|Purpursvale|jaskólczak modry|Andorinha-azul|Пурпурная лесная ласточка|lastovička purpurová|Blå storsvala|紫崖燕
Tachycineta bicolor|Sumpfschwalbe|Golondrina Bicolor|Trjásvala|Træsvale|vlaštovka stromová|kelopääsky|Rondine arboricola bicolore|ミドリツバメ|Boomzwaluw|Tresvale|nadobniczka drzewna|Andorinha-das-árvores|Древесная американская ласточка|lastovička dvojfarebná|Trädsvala|双色树燕
Riparia paludicola|Braunkehl-Uferschwalbe|Avión Paludícola|Sandsvala|Brunstrubet Digesvale|břehule hnědohrdlá|pikkutörmäpääsky|Topino africano|タイワンショウドウツバメ|Vale Oeverzwaluw|Brunstrupesandsvale|brzegówka mala|Andorinha-das-barreiras-africana|Малая береговая ласточка|brehuľa bahenná|Brunstrupig backsvala|褐喉沙燕
Riparia riparia|Uferschwalbe|Avión Zapador|Bakkasvala|Digesvale|břehule říční|törmäpääsky|Topino|ショウドウツバメ|Oeverzwaluw|Sandsvale|brzegówka|Andorinha-das-barreiras|Береговушка|brehuľa hnedá|Backsvala|崖沙燕
Ptyonoprogne rupestris|Felsenschwalbe|Avión Roquero|Bjargsvala|Klippesvale|vlaštovka pohorská|kalliopääsky|Rondine montana|チャイロツバメ|Rotszwaluw|Klippesvale|jaskólka skalna|Androinha-das-rochas|Скальная ласточка|lastovička skalná|Klippsvala|岩燕
Ptyonoprogne fuligula|Steinschwalbe|Avión Isabelino|Steinsvala|Lys Klippesvale|brehule nilská|aavikkopääsky|Rondine montana pallida|ウスチャイロツバメ|Vale Rotszwaluw|Ravinesvale|jaskólka blada|Andorinha de uropigio cinzento|Африканская скалистая ласточка|lastovička previsová|Afrikansk klippsvala|非洲岩燕
Hirundo rustica|Rauchschwalbe|Golondrina Común|Landsvala|Landsvale|vlaštovka obecná|haarapääsky|Rondine comune|ツバメ|Boerenzwaluw|Låvesvale|dymówka|Andorinha-das-chaminés|Ласточка|lastovička obyčajná|Ladusvala|家燕
Cecropis daurica|Rötelschwalbe|Golondrina Dáurica|Brandsvala|Rødrygget Svale|vlaštovka skalní|ruostepääsky|Rondine rossiccia|コシアカツバメ|Roodstuitzwaluw|Amursvale|jaskółka rudawa|Andorinha-dáurica|Рыжепоясничая ласточка|lastovička červenochrbtá|Rostgumpsvala|金腰燕
Petrochelidon pyrrhonota|Fahlstirnschwalbe|Golondrina Risquera|Klettasvala|Stensvale|vlaštovka pestrá|amerikanpääsky|Rondine rupestre americana|サンショクツバメ|Amerikaanse Klifzwaluw|Mursvale|jaskólka rdzawoszyja|Andorinha-de-dorso-acanelado|Белолобая горная ласточка|lastovička bralová|Stensvala|美洲燕
Delichon urbicum|Mehlschwalbe|Avión Común|Bæjasvala|Bysvale|jiřička obecná|räystäspääsky|Balestruccio|ニシイワツバメ|Huiszwaluw|Taksvale|oknówka|Andorinho-dos-beirais|Воронок|belorítka obyčajná|Hussvala|毛脚燕
||||||||||||||||
Poecile lugubris|Trauermeise|Carbonero Lúgubre|Grámeisa|Sørgemejse|sýkora temná|balkanintiainen|Cincia dalmatina|バルカンコガラ|Rouwmees|Balkanmeis|sikora zalobna|Chapim-lúgubre|Средиземноморская гаичка|sýkorka smútočná|Balkanmes|暗山雀
Poecile palustris|Sumpfmeise|Carbonero Palustre|Laufmeisa|Sumpmejse|sýkora babka|viitatiainen|Cincia bigia|ハシブトガラ|Glanskop|Løvmeis|sikora uboga|Chapim-palustre|Черноголовая гаичка|sýkorka hôrna|Entita|沼泽山雀
Poecile montanus|Weidenmeise|Carbonero Montano|Votmeisa|Fyrremejse|sýkora lužní|hömötiainen|Cincia bigia alpestre|コガラ|Matkop|Granmeis|czarnogłówka|Chapim-sibilino|Пухляк|sýkorka čiernohlavá|Talltita|褐头山雀
Poecile cinctus|Lapplandmeise|Carbonero Lapón|Norðmeisa|Lapmejse|sýkora laponská|lapintiainen|Cincia siberiana|シベリアコガラ|Bruinkopmees|Lappmeis|sikora pólnocna|Chapim da Lapónia|Сероголовая гаичка|sýkorka hnedohlavá|Lappmes|灰头山雀
Periparus ater|Tannenmeise|Carbonero Garrapinos|Barrmeisa|Sortmejse|sýkora uhelníček|kuusitiainen|Cincia mora|ヒガラ|Zwarte Mees|Svartmeis|sosnówka|Chapim-preto|Московка|sýkorka uhliarka|Svartmes|煤山雀
Lophophanes cristatus|Haubenmeise|Carbonero Capuchino|Toppmeisa|Topmejse|sýkora parukářka|töyhtötiainen|Cincia dal ciuffo|カンムリガラ|Kuifmees|Toppmeis|czubatka|Chapim-de-poupa|Хохлатая синица|sýkorka chochlatá|Tofsmes|凤头山雀
Parus major|Kohlmeise|Carbonero Común|Flotmeisa|Musvit|sýkora koňadra|talitiainen|Cinciallegra|シジュウカラ|Koolmees|Kjøttmeis|bogatka|Chapim-real|Большая синица|sýkorka veľká|Talgoxe|大山雀
Cyanistes caeruleus|Blaumeise|Herrerillo Común|Blámeisa|Blåmejse|sýkora modřinká|sinitiainen|Cinciarella|アオガラ|Pimpelmees|Blåmeis|modraszka|Chapim-azul|Лазоревка|sýkorka belasá|Blåmes|青山雀
Cyanistes teneriffae|Kanarenmeise|Herrerillo Canario||Mørk Blåmejse||afrikansinitiainen|Cinciarella di Tenerife|アオガラ|Tenerifepimpelmees|Kalottmeis|modraszka kanaryjska||Африканская лазоревка|sýkorka modrokrídla|Koboltmes|
Cyanistes cyanus|Lasurmeise|Herrerillo Azul|Hvítmeisa|Azurmejse|sýkora azurová|valkopäätiainen|Cinciarella azzurra|ルリガラ|Azuurmees|Asurmeis|sikora lazurowa|Chapim-de-cabeça-branca|Белая лазоревка|sýkorka lazúrová|Azurmes|灰蓝山雀
||||||||||||||||
Remiz pendulinus|Beutelmeise|Pájaro-moscón Europeo|Pungmeisa|Pungmejse|moudivláček lužní|pussitiainen|Pendolino|ニシツリスガラ|Buidelmees|Pungmeis|remiz|Chapim-de-faces-pretas|Ремез|kúdeľníčka lužná|Pungmes|欧亚攀雀
||||||||||||||||
Aegithalos caudatus|Schwanzmeise|Satrecito de Cola Larga|Skottmeisa|Halemejse|mlynařík dlouhoocasý|pyrstötiainen|Codibugnolo|エナガ|Staartmees|Stjertmeis|raniuszek|Chapim-rabilongo|Ополовник|mlynárka dlhochvostá|Stjärtmes|银喉长尾山雀
||||||||||||||||
Sitta europaea|Kleiber|Trepador Azul|Hnotigða|Spætmejse|brhlík lesní|pähkinänakkeli|Picchio muratore europeo|ゴジュウガラ|Boomklever|Spettmeis|kowalik|Trepadeira-azul|Поползень|brhlík obyčajný|Nötväcka|普通䴓
Sitta canadensis|Kanadakleiber|Trepador Canadiense|Bandigða|Amerikansk Spætmejse|brhlík americký|valkokulmanakkeli|Picchio muratore pettofulvo|ムネアカゴジュウガラ|Canadese Boomklever|Rustspettmeis|kowalik czarnoglowy||Канадский красногрудый поползень|brhlík čiernohlavý|Rödbröstad nötväcka|红胸䴓
