latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Aythya collaris|Ringschnabelente|Porrón Acollarado|Hringönd|Halsbåndstroldand|polák proužkozobý|amerikantukkasotka|Moriglione dal collare|クビワキンクロ|Ringsnaveleend|Ringand|czerniczka|Zarro-de-colar|Ошейниковая чернеть|chochlačka obojková|Ringand|环颈潜鸭
Aythya nyroca|Moorente|Porrón Pardo|Jarpönd|Hvidøjet And|polák malý|ruskosotka|Moretta tabacca|メジロガモ|Witoogeend|Hvitøyeand|podgorzałka|Zarro-castanho|Белоглазый нырок|chochlačka bielooká|Vitögd dykand|白眼潜鸭
Aythya fuligula|Reiherente|Porrón Moñudo|Skúfönd|Troldand|polák chocholačka|tukkasotka|Moretta eurasiatica|キンクロハジロ|Kuifeend|Toppand|czernica|Zarro-negrinha|Хохлатая чернеть|chochlačka vrkočatá|Vigg|凤头潜鸭
Aythya marila|Bergente|Porrón Bastardo|Duggönd|Bjergand|polák kaholka|lapasotka|Moretta grigia|スズガモ|Topper|Bergand|ogorzałka|Zarro-bastardo|Морская чернеть|chochlačka morská|Bergand|斑背潜鸭
Aythya affinis|Kleine Bergente|Porrón Bola|Duflönd|Lille Bjergand|polák vlnkovaný|pikkulapasotka|Moretta grigia minore|コスズガモ|Kleine Topper|Purpurhodeand|ogorzałka mała|Negrelho-americano|Малая морская чернеть|chochlačka vlnkovaná|Mindre bergand|小潜鸭
Polysticta stelleri|Scheckente|Eider Menor|Blikönd|Stellersand|kajka bělohlavá|allihaahka|Edredone di Steller|コケワタガモ|Stellers Eider|Stellerand|birginiak|Eider de Steller|Стеллерова гага|kajka malá|Alförrädare|小绒鸭
Somateria fischeri|Plüschkopfente|Eider de Anteojos|Gleraugnaæður|Brilleederfugl|kajka brýlatá|silmälasihaahka|Edredone dagli occhiali|メガネケワタガモ|Brileider|Brilleærfugl|edredon okularowy|Eider-de-lunetas|Очковая гага|kajka okuliarnatá|Glasögonejder|白眶绒鸭
Somateria spectabilis|Prachteiderente|Eider Real|Æðarkóngur|Kongeederfugl|kajka královská|kyhmyhaahka|Re degli Edredoni|ケワタガモ|Koningseider|Praktærfugl|turkan|Eider-real|Гага-гребенушка|kajka hrbozobá|Praktejder|王绒鸭
Somateria mollissima|Eiderente|Eider Común|Æður|Ederfugl|kajka mořská|haahka|Edredone|ホンケワタガモ|Eider|Ærfugl|edredon|Eider-edredão|Обыкновенная гага|kajka morská|Ejder|欧绒鸭
Histrionicus histrionicus|Kragenente|Pato Arlequín|Straumönd|Strømand|kačka strakatá|virta-alli|Moretta arlecchino|シノリガモ|Harlekijneend|Harlekinand|kamieniuszka|Pato-arlequim|Каменушка|kamenárka strakatá|Strömand|丑鸭
Melanitta perspicillata|Brillenente|Negrón Careto|Krákönd|Brilleand|turpan pestrozobý|pilkkaniska|Orco marino dagli occhiali|アラナミキンクロ|Brilzee-eend|Brilleand|uhla pstrodzioba|Pato-careto|Пестроносый турпан|turpan okuliarnatý|Vitnackad svärta|斑头海番鸭
Melanitta fusca|Samtente|Negrón Especulado|Korpönd|Fløjlsand|turpan hnědý|pilkkasiipi|Orco marino europeo|ビロアドキンクロ|Grote Zeeüend|Sjøorre|uhla|Pato-fusco|Турпан|turpan tmavý|Svärta|斑脸海番鸭
Melanitta nigra|Trauerente|Negrón común|Hrafnsönd|Sortand|turpan černý|mustalintu|Orchetto marino|クロガモ|Zwarte Zee-eend|Svartand|markaczka|Pato-preto|Синьга|turpan čierny|Sjöorre|黑海番鸭
Melanitta americana|Amerikanische Trauerente|Negrón americano||Amerikansk Sortand||Amerikanmustalintu|||Amerikaanse Zee-eend||markaczka amerykańska||Американская синьга|turpan americký|Amerikansk sjöorre|
Clangula hyemalis|Eisente|Pato Havelda|Hávella|Havlit|hoholka lední|alli|Moretta codona|コオリガモ|Ijseend|Havelle|lodówka|Pato-de-cauda-afilada|Морянка|ľadovka dlhochvostá|Alfågel|长尾鸭
Bucephala albeola|Büffelkopfente|Porrón Albeola|Hjálmönd|Bøffeland|hohol bělavý|pikkutelkkä|Quattrocchi minore|ヒメハジロ|Buffelkopeend|Bøffeland|gągołek|Pato-de-touca-branca|Малый гоголь|hlaholka malá|Buffelhuvud|白枕鹊鸭
Bucephala clangula|Schellente|Porrón Osculado|Hvinönd|Hvinand|hohol severní|telkkä|Quattrocchi comune|ホオジロガモ|Brilduiker|Kvinand|gągoł|Pato-olho-d'ouro|Гоголь|hlaholka severská|Knipa|鹊鸭
Bucephala islandica|Spatelente|Porrón Islándico|Húsönd|Islandsk Hvinand|hohol islandský|amerikantelkkä|Quattrocchi islandico|キタホオジロガモ|Ijslandse Brilduiker|Islandsand|sierpiec|Pato da Islândia|Исландский гоголь|hlaholka veľká|Islandsknipa|巴氏鹊鸭
Mergellus albellus|Zwergsäger|Serreta Chica|Hvítönd|Lille Skallesluger|morčák malý|uivelo|Pesciaiola|ミコアイサ|Nonnetje|Lappfiskand|bielaczek|Merganso-pequeno|Луток|potápač malý|Salskrake|斑头秋沙鸭
Lophodytes cucullatus|Kappensäger|Serreta Capuchona|Kambönd|Hjelmskallesluger|morčák chocholatý|harjakoskelo|Smergo dal ciuffo|オウギアイサ|Kokardezaagbek|Hjelmfiskand|kapturnik|Merganso-capuchinho|Хохлатый крохаль|potápač prilbatý|Kamskrake|棕胁秋沙鸭
Mergus merganser|Gänsesäger|Serreta Grande|Gulönd|Stor Skallesluger|morčák velký|isokoskelo|Smergo maggiore|カワアイサ|Grote Zaagbek|Laksand|nurogęś|Merganso-grande|Большой крохаль|potápač veľký|Storskrake|普通秋沙鸭
Mergus serrator|Mittelsäger|Serreta Mediana|Toppönd|Toppet Skallesluger|morčák prostřední|tukkakoskelo|Smergo minore|ウミアイサ|Middelste Zaagbek|Siland|szlachar|Merganso-de-poupa|Средний крохаль|potápač prostredný|Småskrake|红胸秋沙鸭
Oxyura jamaicensis|Schwarzkopf-Ruderente|Malvasía Canela|Hrókönd|Amerikansk Skarveand|kachnice kaštanová|kuparisorsa|Gobbo rugginoso americano|アカオタテガモ|Rosse Stekelstaart|Stivhaleand|sterniczka jamajska|Pato-rabo-alçado-americano|Американская савка|potápnica bielolíca|Amerikansk kopparand|棕硬尾鸭
Oxyura leucocephala|Weißkopf-Ruderente|Malvasía Cabeciblanca|Eirönd|Hvidhovedet Skarveand|kachnice bělohlavá|valkopääsorsa|Gobbo rugginoso|カオジロオタテガモ|Witkopeend|Hvithodeand|sterniczka|Pato-de-rabo-alçado|Савка|potápnica bielohlavá|Kopparand|白头硬尾鸭
||||||||||||||||
Numida meleagris|Helmperlhuhn|Pintada Común|Perluhæna|Perlehøne|perlička kropenatá|helmikana|Faraona comune|ホロホロチョウ|Helmparelhoen|Hjelmperlehøne|perlica zwyczajna|Fraca da Guiné|Обыкновенная цесарка|perlička prilbatá|Hjälmpärlhöna|珠鸡
||||||||||||||||
Callipepla californica|Schopfwachtel|Colín de California|Skúfhæna|Californisk Topvagtel|křepel kalifornský|kaliforniantupsuviiriäinen|Colino della California|カンムリウズラ|Californische Kuifkwartel|Kaliforniavaktel|przepiór kalifornijski||Калифорнийский хохлатый перепел|prepelka korunkatá|Kalifornisk tofsvaktel|珠颈斑鹑
Colinus virginianus|Virginiawachtel|Colín de Virginia|Tannhæna|Bobwhite|křepel virginský|peltoviiriäinen|Colino della Virginia|コリンウズラ|Bobwhite|Nordkrattvaktel|przepiór wirginijski|Codorniz da Virgínia|Виргинская американская куропатка|prepelka hnedá|Vitstrupig vaktel|山齿鹑
||||||||||||||||
Alectoris graeca|Steinhuhn|Perdiz Griega|Steinhæna|Stenhøne|orebice horská|kivikkopyy|Coturnice|ハイイロイワシャコ|Steenpatrijs|Steinhøne|góropatwa skalna|Perdiz-das-rochas|Европейская каменная куропатка|kuropta horská|Stenhöna|欧石鸡
Alectoris chukar|Chukarhuhn|Perdiz Chucar|Berghæna|Chukarhøne|orebice čukar|vuoripyy|Coturnice orientale|イワシャコ|Aziatische Steenpatrijs|Berghøne|góropatwa azjatycka|Perdiz-chukar|Азиатская каменная куропатка|kuropta čukar|Berghöna|石鸡
Alectoris rufa|Rothuhn|Perdiz Roja|Sandhæna|Rødhøne|orebice rudá|punapyy|Pernice rossa|アカアシイワシャコ|Rode Patrijs|Rødhøne|góropatwa czerwona|Perdiz-comum|Красная куропатка|kuropta červená|Rödhöna|红腿石鸡
Alectoris barbara|Felsenhuhn|Perdiz Moruna|Þyrnihæna|Berberhøne|orebice berberská|kalliopyy|Pernice barbaresca|チャエリイワシャコ|Barbarijse Patrijs|Berberhøne|góropatwa berberyjska|Perdiz-moura|Берберийская каменная куропатка|kuropta skalná|Klipphöna|北非石鸡
Francolinus francolinus|Halsbandfrankolin|Francolín Ventrinegro|Svarthæna|Sort Frankolin|frankolín obecný|mustafrankoliini|Francolino a petto nero|ムナグロシャコ|Zwarte Frankolijn|Halsbåndfrankolin|frankolin obrozny||Турач|frankolín tmavý|Svart frankolin|黑鹧鸪
Perdix perdix|Rebhuhn|Perdiz Pardilla|Akurhæna|Agerhøne|koroptev polní|peltopyy|Starna|ヨアロッパヤマウズラ|Patrijs|Rapphøne|kuropatwa|Perdiz-cinzenta|Серая куропатка|jarabica poľná|Rapphöna|灰山鹑
Coturnix coturnix|Wachtel|Codorniz Común|Kornhæna|Vagtel|křepelka polní|viiriäinen|Quaglia comune|ヨアロッパウズラ|Kwartel|Vaktel|przepiórka|Codorniz|Обыкновенный перепел|prepelica poľná|Vaktel|西鹌鹑
Phasianus colchicus|Fasan|Faisán Vulgar|Fashani|Fasan|bažant obecný|fasaani|Fagiano comune|キジ|Bosfazant|Fasan|bażant|Faisão|Обыкновенный фазан|bažant obyčajný|Fasan|环颈雉
