|Latin Name|Greek name|English Name
|Rallidae||
118|Rallus aquaticus                  |(Ευρωπαϊκή) Νεροκοτσέλα                |Water Rail
119|Porzana porzana                   |Στικτοπουλάδα             |Spotted Crake
120|Porzana parva                     |Μικροπουλάδα                |Little Crake
121|Porzana pusilla                   |Νανοπουλάδα               |Baillon's Crake
122|Crex crex                         |Ορτυκομάνα                  |Corn Crake
123|Gallinula chloropus               |(Κοινή) Νερόκοτα                   |Common Moorhen
124|Porphyrio alleni|Αφρικανική Νερόκοτα        |Allen's Gallinule
125|Porphyrio porphyrio               |Σουλτανοπουλάδα             |Purple Swamp-Hen
126|Fulica atra                       |(Κοινή) Φαλαρίδα                   |Eurasian Coot
|Gruidae||
127|Grus grus                         |(Ευρωπαϊκός) Γερανός                     |Common Crane
128|Grus virgo                |Νυφογερανός                 |Demoiselle Crane
|Otididae||
129|Tetrax tetrax                     |Χαμωτίδα                  |Little Bustard
130|Chlamydotis undulata              |Χλαμυδωτίδα               |Houbara Bustard
131|Otis tarda                        |Μεγάλη Ωτίδα                 |Great Bustard
|CHARADRIIFORMES||
|Haematopodidae||
132|Haematopus ostralegus             |(Ευρωπαϊκός) Στρειδοφάγος               |Eurasian Oystercatcher
|Recurvirostridae||
133|Himantopus himantopus             |Καλαμοκανάς                 |Black-winged Stilt
134|Recurvirostra avosetta            |(Ευρωπαϊκή) Αβοκέτα                     |Pied Avocet
|Burhinidae||
135|Burhinus oedicnemus               |(Ευρωπαϊκή) Πετροτουρλίδα               |Stone-Curlew
|Glareolidae||
136|Cursorius cursor                  |Αμμοδρόμος                 |Cream-coloured Courser
137|Glareola pratincola               |(Κοινό) Νεροχελίδονο                |Collared Pratincole
138|Glareola nordmanni                |Μαυρόφτερο Νεροχελίδονο    |Black-winged Pratincole
|Charadriidae||
139|Charadrius dubius                 |Ποταμοσφυριχτής            |Little Ringed Plover
140|Charadrius hiaticula              |Αμμοσφυριχτής              |Common Ringed Plover
141|Charadrius pecuarius|Μικροσφυριχτής|Kittlitz's Plover
142|Charadrius alexandrinus           |Θαλασσοσφυριχτής           |Kentish Plover
143|Charadrius leschenaultii          |(Μεγάλος) Ερημοσφυριχτής             |Greater Sand Plover
144|Charadrius asiaticus              |Στεποσφυριχτής            |Caspian Plover
145|Charadrius morinellus             |Βουνοσφυριχτής              |Eurasian Dotterel
146|Pluvialis fulva                   |Βροχοπούλι του Ειρηνικού   |Pacific Golden Plover
147|Pluvialis apricaria                      |(Ευρωπαϊκό) Βροχοπούλι                  |European Golden Plover
148|Pluvialis squatarola              |Αργυροπούλι                |Grey Plover
149|Hoplopterus spinosus                 |Αγκαθοκαλημάνα             |Spur-winged Lapwing
150|Vanellus gregarius                |Αγελοκαλημάνα               |Sociable Lapwing
151|Vanellus leucurus                                |Λεύκουρη Καλημάνα                  |White-tailed Lapwing
152|Vanellus vanellus                 |(Ευρωπαϊκή) Καλημάνα                    |Northern Lapwing
|Scolopacidae||
153|Calidris canutus                  |Κοκκινοσκαλίδρα              |Red Knot
154|Calidris alba                     |Λευκοσκαλίδρα               |Sanderling
