Petronia petronia|skalni vrabec
Montifringilla nivalis|planinski vrabec
|
Anthus trivialis|drevesna cipa
Anthus cervinus|rdečegrla cipa
Anthus pratensis|travniška cipa
Anthus spinoletta|vriskarica
Anthus campestris|rjava cipa
Motacilla flava|rumena pastirica
Motacilla cinerea|siva pastirica
Motacilla citreola|citronasta pastirica
Motacilla alba|bela pastirica
|
Fringilla coelebs|ščinkavec
Fringilla montifringilla|pinoža
Coccothraustes coccothraustes|dlesk
Erythrina erythrina|škrlatec
Pinicola enucleator|smrekov kalin
Pyrrhula pyrrhula|kalin
Chloris chloris|zelenec
Linaria flavirostris|severni repnik
Linaria cannabina|repnik
Acanthis flammea|brezovček
Acanthis hornemanni|polarni brezovček
Loxia pytyopsittacus|veliki krivokljun
Loxia curvirostra|Krivokljun
Loxia leucoptera|beloperuti krivokljun
Carduelis carduelis|lišček
Carduelis citrinella|konopeljščica
Serinus serinus|grilček
Spinus spinus|čižek
|
Calcarius lapponicus|laponski ostroglež
Plectrophenax nivalis|snežni strnad
|
Granativora melanocephala|črnoglavi strnad
Emberiza calandra|veliki strnad
Emberiza cia|skalni strnad
Emberiza hortulana|vrtni strnad
Emberiza cirlus|plotni strnad
Emberiza citrinella|rumeni strnad
Emberiza leucocephalos|beloglavi strnad
Schoeniclus schoeniclus|trstni strnad
Schoeniclus rusticus|gozdni strnad
Schoeniclus pusillus|mali strnad
|
Periparus ater|menišček
Lophophanes cristatus|čopasta sinica
Poecile lugubris|
Poecile palustris|močvirska sinica
Poecile montanus|gorska sinica
Cyanistes caeruleus|plavček
Parus major|velika sinica
|
Remiz pendulinus|plašica
|
Melanocorypha calandra|laški škrjanec
Calandrella brachydactyla|kratkoprsti škrjanček
Lullula arborea|hribski škrjanec
Alauda arvensis|poljski škrjanec
Galerida cristata|čopasti škrjanec
|
Panurus biarmicus|brkata sinica
|
Cisticola juncidis|brškinka
|
Locustella luscinioides|trstni cvrčalec
Locustella fluviatilis|rečni cvrčalec
Locustella naevia|kobiličar
|
Iduna pallida|bledi vrtnik
Hippolais polyglotta|kratkoperuti vrtnik
Hippolais icterina|rumeni vrtnik
Acrocephalus paludicola|povodna trstnica
Acrocephalus melanopogon|tamariskovka
Acrocephalus schoenobaenus|bičja trstnica
Acrocephalus dumetorum|robidna trstnica
Acrocephalus palustris|močvirska trstnica
Acrocephalus scirpaceus|srpična trstnica
Acrocephalus agricola|Plevelna trstnica
Acrocephalus arundinaceus|rakar
|
Delichon urbicum|mestna lastovka
Cecropis daurica|rdeca lastovka
Hirundo rustica|kmečka lastovka
Ptyonoprogne rupestris|skalna lastovka
Riparia riparia|breguljka
|
Rhadina orientalis|vzhodna hribska listnica
Rhadina bonelli|hribska listnica
Rhadina sibilatrix|grmovščica
Abrornis inornata|mušja listnica
Phylloscopus trochilus|severni kovaček
Phylloscopus collybita|vrbji kova ek
|
Cettia cetti|svilnica
|
Aegithalos caudatus|dolgorepka
|
Sylvia atricapilla|črnoglavka
Sylvia borin|vrtna penica
Curruca nisoria|pisana penica
Curruca crassirostris|
Curruca curruca|mlinarcek
Curruca cantillans|
Curruca melanocephala|žametna penica
Curruca communis|rjava penica
|
Regulus regulus|rumenoglavi kraljicek
Regulus ignicapilla|rdečeglavi kraljiček
|
Bombycilla garrulus|pegam
|
Certhia brachydactyla|kratkoprsti plezalček
Certhia familiaris|dolgoprsti plezalček
|
Sitta europaea|brglez
Sitta neumayer|skalni brglez
Tichodroma muraria|skalni plezalček
|
Troglodytes troglodytes|stržek
|
Sturnus vulgaris|škorec
Pastor roseus|rožnati škorec
|
Cinclus cinclus|povodni kos
|
Muscicapa striata|sivi muhar
Erithacus rubecula|tašcica
Luscinia luscinia|veliki slavec
Luscinia megarhynchos|slavec
Luscinia svecica|modra taščica
Calliope calliope|rubinasti slavec
Ficedula parva|mali muhar
Ficedula hypoleuca|črnoglavi muhar
Ficedula albicollis|belovrati muhar
Phoenicurus phoenicurus|pogorelček
Phoenicurus ochruros|šmarnica
Monticola saxatilis|slegur
Monticola solitarius|puščavec
Saxicola rubetra|repaljščica
Saxicola rubicola|prosnik
Oenanthe oenanthe|kupcar
Oenanthe hispanica|sredozemski kupčar
|
Zoothera dauma|grahasti droznik
Turdus viscivorus|carar
Turdus philomelos|cikovt
Turdus iliacus|vinski drozg
Turdus merula|Kos
Turdus pilaris|brinovka
Turdus torquatus|komatar
Turdus eunomus|Rdečeperuti dorzg
